Reported Date,Confirmed Negative,Presumptive Negative,Presumptive Positive,Confirmed Positive,Resolved,Deaths,Total Cases,Total patients approved for testing as of Reporting Date,Total tests completed in the last day,Under Investigation,Number of patients hospitalized with COVID-19,Number of patients in ICU with COVID-19,Number of patients in ICU on a ventilator with COVID-19,Total Positive LTC Resident Cases,Total Positive LTC HCW Cases,Total LTC Resident Deaths,Total LTC HCW Deaths,,Feedback
1/26/2020,,,1,,,,,,,9,,,,,,,,,
1/27/2020,,,2,,,,,,,19,,,,,,,,,
1/28/2020,,,1,1,,,1,,,11,,,,,,,,,
1/30/2020,,,0,2,,,2,,,27,,,,,,,,,
1/31/2020,,,0,2,,,2,,,17,,,,,,,,,
2/3/2020,,,0,3,,,3,,,29,,,,,,,,,
2/4/2020,90,12,0,3,,,3,139,,34,,,,,,,,,
2/5/2020,96,8,0,3,,,3,150,,43,,,,,,,,,
2/6/2020,104,0,0,3,,,3,169,,62,,,,,,,,,
2/8/2020,130,25,0,3,,,3,197,,39,,,,,,,,,
2/10/2020,167,81,0,3,,,3,259,,8,,,,,,,,,
2/11/2020,184,79,0,3,,,3,285,,19,,,,,,,,,
2/12/2020,257,44,0,2,1,,3,313,,9,,,,,,,,,1
2/13/2020,306,16,0,2,1,,3,340,,15,,,,,,,,,1
2/14/2020,353,0,0,2,1,,3,364,,8,,,,,,,,,1
2/17/2020,399,0,0,2,1,,3,402,,0,,,,,,,,,1
2/18/2020,418,0,0,2,1,,3,421,,0,,,,,,,,,1
2/19/2020,436,0,0,2,1,,3,456,,17,,,,,,,,,1
2/20/2020,462,,0,1,2,,3,479,,14,,,,,,,,,2
2/21/2020,483,,0,0,3,,3,498,,12,,,,,,,,,3
2/24/2020,540,,0,1,3,,4,553,,9,,,,,,,,,3
2/25/2020,568,,0,1,3,,4,593,,21,,,,,,,,,3
2/26/2020,610,,1,1,3,,4,629,,14,,,,,,,,,3
2/27/2020,672,,1,2,3,,5,699,,21,,,,,,,,,3
2/28/2020,739,,1,3,3,,6,768,,22,,,,,,,,,3
3/2/2020,975,,,15,3,,18,1005,,12,,,,,,,,,3
3/3/2020,1061,,,17,3,,20,1126,,45,,,,,,,,,3
3/4/2020,1216,,,17,3,,20,1338,,102,,,,,,,,,3
3/5/2020,1466,,,18,4,,22,1566,,78,,,,,,,,,4
3/6/2020,1665,,,22,4,,26,1763,,72,,,,,,,,,4
3/7/2020,1918,,,24,4,,28,1982,,36,,,,,,,,,4
3/8/2020,2094,,,25,4,,29,2178,,55,,,,,,,,,4
